"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","21 Jan 2020 21:12:38 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
6.107,12.921,80.938,0.034,0,18382.915,67057.079,0,0,0,0,17745.202,11793.446
1.604,9.091,89.037,0.267,0,0,98304,844690,844740,0,0,16416,11416
1.093,7.377,91.530,0,0,0,0,854100,853944,0,0,11285,11373
1.635,6.540,91.826,0,0,0,0,894036,894142,0,0,11609,11953
1.377,5.510,93.113,0,0,0,16384,893568,893568,0,0,11582,11934
1.644,5.479,92.877,0,0,0,0,869310,869310,0,0,11273,11616
2.674,7.219,90.107,0,0,0,65536,889824,889824,0,0,11545,11917
1.333,8.533,90.133,0,0,0,0,894972,894972,0,0,11606,11940
2.111,8.971,88.918,0,0,0,0,895128,895128,0,0,11615,11970
3.694,7.388,88.918,0,0,0,40960,883840,883840,0,0,10583,10965
2.122,7.958,89.920,0,0,0,0,1534452,1534452,0,0,10944,11260
3.448,6.897,89.655,0,0,0,49152,1530476,1530476,0,0,10923,11255
1.867,7.733,90.400,0,0,0,0,1536440,1536440,0,0,10956,11266
2.604,8.854,88.542,0,0,0,0,1511164,1511164,0,0,10778,11091
2.111,8.179,89.710,0,0,0,0,1517412,1517412,0,0,10833,11148
2.145,7.239,90.617,0,0,0,0,1537008,1537008,0,0,10954,11310
2.618,8.377,88.743,0.262,0,0,24576,1530866,1530760,0,0,10936,11263
2.381,7.937,89.683,0,0,0,0,1536440,1536440,0,0,10961,11291
3.430,6.860,89.710,0,0,0,0,1493272,1493272,0,0,10652,10958
1.828,10.966,87.206,0,0,0,49152,2163192,2163192,0,0,13046,9681
0.800,9.600,89.600,0,0,0,0,2557440,2557546,0,0,14644,9980
1.852,9.259,88.889,0,0,0,90112,2393280,2393280,0,0,10998,9431
2.073,9.067,88.860,0,0,0,0,2557980,2557980,0,0,9614,9872
3.133,7.833,89.034,0,0,0,0,2637360,2637360,0,0,9912,10208
2.895,7.368,89.737,0,0,0,0,2637900,2637900,0,0,9912,10192
1.818,9.610,88.571,0,0,0,0,2634120,2634120,0,0,9897,10162
2.083,9.115,88.802,0,0,0,24576,2587680,2587680,0,0,9736,10014
2.356,7.853,89.791,0,0,0,0,2591460,2591460,0,0,9728,10001
2.394,6.915,90.691,0,0,0,0,2633040,2633040,0,0,9884,10157
4.211,6.579,88.684,0.526,0,0,172032,2828152,2829204,0,0,10035,9483
1.108,4.986,93.906,0,0,0,0,4170128,4170128,0,0,12261,8360
1.070,7.487,91.444,0,0,0,49152,3992340,3991288,0,0,10234,7982
2.051,10.256,87.692,0,0,0,0,4092280,4092280,0,0,8175,8255
2.332,8.549,89.119,0,0,0,0,4297420,4297420,0,0,8311,8517
1.567,9.661,88.512,0.261,0,0,21143552,4249028,4249028,0,0,8347,8576
2.895,6.316,90.789,0,0,0,0,4181700,4181700,0,0,8089,8301
3.125,7.292,89.583,0,0,0,49152,4263756,4263756,0,0,8246,8479
1.299,9.351,89.351,0,0,0,0,4296446,4296446,0,0,8315,8508
2.350,7.833,89.817,0,0,0,0,4292160,4292160,0,0,8304,8511
1.813,9.067,89.119,0,0,0,0,4276380,4276380,0,0,8276,8465
1.305,8.355,90.339,0,0,0,0,4182752,4182752,0,0,8094,8289
2.083,8.333,89.323,0.260,0,0,24576,4263756,4263756,0,0,8258,8491
2.368,8.158,89.474,0,0,0,0,4390952,4390952,0,0,7199,7306
1.326,6.897,91.777,0,0,0,0,5217912,5217912,0,0,7449,7638
2.381,5.820,91.799,0,0,0,0,5050942,5050836,0,0,7219,7409
0.785,8.639,90.576,0,0,0,0,5225130,5225130,0,0,7462,7648
1.326,6.897,91.512,0.265,0,0,32768,5190780,5190780,0,0,7404,7605
2.083,7.812,90.104,0,0,0,0,5220768,5220768,0,0,7454,7609
2.611,6.789,90.601,0,0,0,0,5105100,5105100,0,0,7294,7481
2.880,6.545,90.576,0,0,0,0,5175072,5175072,0,0,7396,7588
2.618,6.806,90.576,0,0,0,0,5226480,5226480,0,0,7456,7657
1.309,8.115,90.314,0.262,0,0,24576,5193636,5193636,0,0,7422,7622
1.319,7.388,91.293,0,0,0,0,5196492,5196492,0,0,7417,7602
2.156,4.313,93.531,0,0,0,0,5079396,5079502,0,0,7258,7437
0.524,8.901,90.576,0,0,0,0,5225052,5225052,0,0,7465,7648
2.133,5.867,92,0,0,0,0,5227908,5227908,0,0,7460,7651
1.877,8.847,89.276,0,0,0,32768,2972872,2972872,0,0,6953,4505
1.648,7.143,91.209,0,0,0,0,2640416,2641930,0,0,7113,3833
1.587,7.937,90.476,0,0,0,0,4277050,4275536,0,0,6943,6025
1.613,5.645,92.742,0,0,0,0,5397410,5397410,0,0,7253,7452
2.639,6.596,90.501,0.264,0,0,57344,5173338,5173338,0,0,7134,7274
1.102,3.581,95.317,0,0,0,0,5398924,5398924,0,0,7246,7449
1.872,5.615,92.513,0,0,0,0,5395896,5395896,0,0,7254,7434
2.667,5.333,92,0,0,0,0,5397410,5397410,0,0,7257,7455
1.333,6.400,90.933,1.333,0,0,9494528,5005284,5005284,0,0,6829,7027
2.368,6.842,90.263,0.526,0,0,4284416,5106722,5106722,0,0,7135,7197
1.609,5.630,92.761,0,0,0,0,5398924,5398924,0,0,7255,7444
1.579,7.632,90.789,0,0,0,0,5391354,5391354,0,0,7254,7424
1.348,5.121,93.531,0,0,0,0,5351990,5351990,0,0,7200,7391
2.381,5.820,91.799,0,0,0,16384,5261150,5261150,0,0,7090,7275
1.333,6.667,92,0,0,0,40960,5370158,5370158,0,0,7234,7436
