"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-aesgcm-we-1500-dstat.csv",,,,"Date:","21 Jan 2020 18:24:31 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
10.044,10.019,79.887,0.049,0,45607.461,94378.469,0,0,0,0,16777.242,20477.292
3.571,9.694,86.735,0,0,0,73728,679692,679536,0,0,9040,23353
3.627,8.031,88.342,0,0,0,0,681564,681564,0,0,9022,24555
3.359,8.527,88.114,0,0,0,0,681720,681876,0,0,9022,24573
2.564,9.744,87.692,0,0,0,0,659206,659050,0,0,8734,23846
2.771,10.076,86.902,0.252,0,0,114688,623922,624078,0,0,8304,22566
2.051,9.744,88.205,0,0,0,0,643032,643032,0,0,8517,23185
2.865,7.552,89.583,0,0,0,0,643500,643344,0,0,8493,23264
2.062,9.278,88.660,0,0,0,0,643188,643188,0,0,8391,23146
2.073,8.290,89.637,0,0,0,0,621660,621660,0,0,8120,22415
3.316,8.673,87.755,0.255,0,0,24576,641784,641784,0,0,8390,23148
4.020,9.548,86.432,0,0,0,0,643032,643188,0,0,8408,23111
3.117,8.052,88.831,0,0,0,0,610896,610740,0,0,8020,22164
1.832,9.424,88.743,0,0,0,0,1066988,1067272,0,0,11490,22887
2.926,7.447,89.628,0,0,0,0,1123504,1123220,0,0,12012,24025
3.675,7.874,88.451,0,0,0,32768,1119528,1119812,0,0,12001,23964
3.101,9.561,87.339,0,0,0,0,1041428,1041144,0,0,8391,21062
2.089,7.311,90.601,0,0,0,0,1092264,1092548,0,0,7837,21077
1.799,9.512,88.689,0,0,0,0,1126060,1126060,0,0,8084,22519
3.183,5.305,91.512,0,0,0,0,1125776,1125492,0,0,8066,22576
2.387,6.101,91.247,0.265,0,0,24576,1123326,1123220,0,0,8050,22594
1.596,6.383,91.755,0.266,0,0,212992,1089424,1089814,0,0,7921,22064
3.675,5.774,90.551,0,0,0,0,1124356,1124072,0,0,8061,22632
2.872,7.050,90.078,0,0,0,0,1126628,1126628,0,0,8069,22628
2.785,9.873,87.342,0,0,0,0,1126912,1126912,0,0,8098,22661
3.333,8.718,87.692,0.256,0,0,57344,1128832,1129372,0,0,7881,20939
2.083,9.635,88.281,0,0,0,0,1917540,1917000,0,0,10714,21344
3.571,8.673,87.755,0,0,0,0,1949400,1949940,0,0,7386,20960
5.063,7.342,87.595,0,0,0,0,1990440,1990440,0,0,7532,21588
5.250,8.250,86.500,0,0,0,0,1971000,1971000,0,0,7465,21299
5.224,8.458,86.318,0,0,0,32768,1938600,1938600,0,0,7369,21097
5.405,10.074,84.275,0.246,0,0,15056896,1882440,1881900,0,0,7249,20396
3.457,11.852,84.691,0,0,0,0,1912680,1912680,0,0,7271,20598
4.218,9.926,85.856,0,0,0,0,1992600,1993140,0,0,7549,21540
4.726,8.706,86.567,0,0,0,0,1929420,1929420,0,0,7311,20887
