"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-chachapoly-e-frag-1500-dstat.csv",,,,"Date:","21 Jan 2020 19:02:39 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
8.562,9.514,81.880,0.043,0,34137.424,82674.809,0,0,0,0,14892.159,20447.464
2.094,9.686,88.220,0,0,0,0,941616,941460,0,0,12238,12590
1.630,7.065,91.304,0,0,0,0,957150,958814,0,0,12402,12778
2.949,7.239,89.812,0,0,0,2031616,955138,954876,0,0,12476,12875
2.486,4.420,93.094,0,0,0,0,957060,957166,0,0,12391,12788
2.128,7.979,89.628,0.266,0,0,172032,929292,929448,0,0,12060,12435
2.646,8.201,89.153,0,0,0,0,957996,957840,0,0,12415,12824
2.439,6.504,91.057,0,0,0,0,957528,957528,0,0,12410,12772
2.174,6.250,91.576,0,0,0,0,957528,957684,0,0,12395,12798
2.151,8.602,89.247,0,0,0,0,1337496,1337340,0,0,14714,10944
2.446,6.250,91.033,0.272,0,0,32768,1558876,1559160,0,0,11806,11449
2.632,8.421,88.947,0,0,0,0,1639248,1639248,0,0,11699,12051
2.094,9.424,88.482,0,0,0,0,1638112,1637828,0,0,11675,12009
2.910,7.407,89.683,0,0,0,0,1600430,1602222,0,0,11411,11751
3.856,8.997,87.147,0,0,0,0,1629308,1629024,0,0,11618,11959
3.571,10.204,85.969,0.255,0,0,24576,1633852,1633852,0,0,11671,11995
3.093,9.794,87.113,0,0,0,0,1639248,1639532,0,0,11697,12027
3.333,10,86.667,0,0,0,0,1619652,1619368,0,0,11566,11899
2.632,9.737,87.632,0,0,0,11034624,2349816,2350356,0,0,13606,9699
2.338,10.390,87.273,0,0,0,0,2704966,2704860,0,0,15223,10552
1.804,11.082,86.598,0.515,0,0,49152,2667060,2666520,0,0,14332,10402
2.116,8.466,89.418,0,0,0,0,2669220,2669220,0,0,10212,10304
3.927,7.068,89.005,0,0,0,0,2775138,2775784,0,0,10435,10723
2.375,7.388,90.237,0,0,0,0,2740500,2740500,0,0,10285,10589
2.850,9.067,88.083,0,0,0,0,2793420,2793420,0,0,10491,10790
3.141,7.853,88.743,0.262,0,0,24576,2776140,2776140,0,0,10432,10741
3.608,8.505,87.887,0,0,0,0,2793960,2793960,0,0,10500,10808
2.646,6.878,90.476,0,0,0,0,2712960,2712960,0,0,10186,10473
3.714,7.162,89.125,0,0,0,0,4026148,4025608,0,0,12048,8401
1.600,8.267,90.133,0,0,0,0,4284874,4284874,0,0,12737,8616
1.918,6.027,91.781,0.274,0,0,32768,4014432,4015484,0,0,11822,8089
1.832,7.853,90.314,0,0,0,0,4355280,4354228,0,0,8416,8639
2.926,5.585,91.489,0,0,0,0,4495196,4495196,0,0,8670,8917
1.370,4.932,93.425,0.274,0,0,8871936,4432076,4432076,0,0,8605,8863
3.117,7.792,89.091,0,0,0,0,4496248,4496248,0,0,8689,8920
2.162,4.595,92.162,1.081,0,0,40960,4381580,4381580,0,0,8461,8706
2.406,5.615,91.979,0,0,0,0,4437336,4437336,0,0,8559,8804
2.902,6.596,90.501,0,0,0,0,4496248,4496248,0,0,8682,8921
1.312,8.661,90.026,0,0,0,0,4496248,4496248,0,0,8681,8926
2.381,6.614,91.005,0,0,0,0,4486780,4486780,0,0,8665,8905
1.613,7.258,90.860,0.269,0,0,32768,4573756,4573756,0,0,10137,7116
1.902,7.880,90.217,0,0,0,0,2667504,2667504,0,0,7603,4084
2.133,9.067,88.800,0,0,0,0,2706060,2707488,0,0,7329,4112
3.359,6.977,89.664,0,0,0,0,5240760,5239332,0,0,7493,7690
4.393,6.460,89.147,0,0,0,0,5420688,5420688,0,0,7734,7941
2.813,8.951,87.980,0.256,0,0,24576,5390700,5390700,0,0,7709,7912
3.093,7.990,88.918,0,0,0,0,5423544,5423544,0,0,7743,7948
2.591,7.513,89.896,0,0,0,0,5246472,5247900,0,0,7486,7672
3.109,7.513,89.378,0,0,0,0,5416404,5416404,0,0,7727,7933
2.089,7.833,90.078,0,0,0,0,5414976,5413548,0,0,7726,7904
2.332,8.031,89.119,0.518,0,0,24576,5380704,5380704,0,0,7675,7877
4.061,8.122,87.817,0,0,0,0,5337970,5337864,0,0,7629,7810
3.618,6.977,89.406,0,0,0,0,5313666,5315094,0,0,7584,7777
2.320,8.763,88.918,0,0,0,32768,5416404,5416404,0,0,7754,7943
