"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-macsec-morus640-e-1500-1500-dstat.csv",,,,"Date:","21 Jan 2020 21:31:09 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.856,13.622,80.489,0.033,0,17249.318,66022.567,0,0,0,0,18497.043,11191.538
1.359,8.424,90.217,0,0,0,73728,851916,851760,0,0,16676,11388
1.887,8.356,89.757,0,0,0,131072,862212,862368,0,0,16810,11697
2.625,9.449,87.927,0,0,0,0,850150,849888,0,0,11150,11372
2.083,9.896,88.021,0,0,0,0,886548,886654,0,0,11522,11858
2.584,9.819,87.597,0,0,0,0,868296,868296,0,0,11284,11606
3.675,7.612,88.451,0.262,0,0,40960,885690,885690,0,0,11523,11888
1.575,9.711,88.714,0,0,0,0,889668,889668,0,0,11554,11890
2.400,7.467,90.133,0,0,0,0,891072,891072,0,0,11665,11859
0.794,10.317,88.889,0,0,0,0,841036,841320,0,0,11007,10875
2.156,7.278,90.566,0,0,0,0,1444140,1443856,0,0,15709,10558
1.934,5.525,92.541,0,0,0,32768,1452092,1452092,0,0,14614,10590
0.545,7.357,92.098,0,0,0,0,1447264,1447264,0,0,10668,10597
2.850,9.326,87.824,0,0,0,0,1514004,1514004,0,0,10960,11032
3.133,7.833,89.034,0,0,0,0,1468280,1468280,0,0,10630,10707
1.362,6.267,92.371,0,0,0,0,1513720,1513720,0,0,10942,11028
1.630,5.978,92.120,0.272,0,0,24576,1507472,1507472,0,0,10897,10995
2.646,7.407,89.947,0,0,0,0,1514288,1514288,0,0,10949,11029
2.419,5.914,91.667,0,0,0,0,1469984,1469984,0,0,10628,10713
2.933,7.200,89.867,0,0,0,0,1835952,1835952,0,0,9840,9977
1.330,7.979,90.691,0,0,0,0,2546746,2546746,0,0,9719,9781
2.926,6.117,90.957,0,0,0,32768,2540160,2540160,0,0,9687,9761
1.583,8.179,90.237,0,0,0,0,2507220,2507220,0,0,9559,9611
3.457,5.585,90.957,0,0,0,98304,2515860,2515860,0,0,9621,9682
2.100,8.136,89.764,0,0,0,0,2552040,2552040,0,0,9714,9778
2.902,7.124,89.974,0,0,0,0,2550960,2550960,0,0,9724,9790
3.665,6.806,89.267,0.262,0,0,114688,2533140,2533140,0,0,9654,9728
2.667,5.867,91.467,0,0,0,0,2469420,2469420,0,0,9406,9469
3.166,6.596,90.237,0,0,0,8192,2551500,2551500,0,0,9718,9785
2.688,5.645,91.667,0,0,0,0,2549340,2549340,0,0,9715,9778
4.688,6.250,89.062,0,0,0,0,3304644,3304644,0,0,7877,7910
2.100,7.612,90.289,0,0,0,49152,4017588,4017588,0,0,7887,7938
2.887,6.299,90.814,0,0,0,0,3905024,3905024,0,0,7657,7690
3.618,8.527,87.855,0,0,0,20078592,4019692,4019692,0,0,8006,8069
1.567,8.616,89.817,0,0,0,0,4036524,4036524,0,0,7917,7946
2.604,7.552,89.844,0,0,0,0,4035472,4035472,0,0,7921,7955
2.887,6.299,90.814,0,0,0,49152,3888192,3888192,0,0,7630,7680
1.837,7.874,90.289,0,0,0,0,4044940,4044940,0,0,7930,7956
1.326,7.427,91.247,0,0,0,122880,4043966,4043966,0,0,8000,8036
1.828,8.094,90.078,0,0,0,0,4035472,4035472,0,0,7918,7951
1.828,8.094,90.078,0,0,0,0,3971300,3971300,0,0,7792,7823
1.312,7.874,90.551,0.262,0,0,24576,3966040,3966040,0,0,7785,7827
1.567,8.616,89.817,0,0,0,0,4039680,4039680,0,0,7922,7948
3.133,8.877,87.990,0,0,0,0,3856040,3856040,0,0,8431,6799
1.882,8.602,89.516,0,0,0,0,2489082,2489082,0,0,6714,3842
1.401,1.681,96.919,0,0,0,0,4778088,4778088,0,0,6923,6967
1.020,10.459,88.265,0.255,0,0,32768,4798080,4798080,0,0,6977,6992
2.133,5.600,92.267,0,0,0,0,4829496,4829496,0,0,6995,7019
1.579,7.368,91.053,0,0,0,0,4836636,4836636,0,0,7016,7032
2.632,5.789,91.579,0,0,0,0,4670988,4670988,0,0,6777,6802
2.083,7.812,90.104,0,0,0,0,4830924,4830924,0,0,7016,7031
1.340,5.898,92.761,0,0,0,24576,4808076,4808076,0,0,6978,7023
2.116,6.349,91.534,0,0,0,0,4830924,4831030,0,0,7024,7059
2.842,7.235,89.922,0,0,0,0,4666704,4666704,0,0,6778,6789
1.333,6.400,92.267,0,0,0,0,4841026,4840920,0,0,7016,7046
2.519,10.327,87.154,0,0,0,0,4832352,4832352,0,0,7024,7018
1.355,4.878,93.767,0,0,0,24576,4818072,4818072,0,0,6982,7018
2.296,9.184,88.520,0,0,0,0,4758096,4758096,0,0,6904,6910
2.400,5.333,92.267,0,0,0,0,4688124,4688124,0,0,6818,6886
1.934,8.840,89.227,0,0,0,0,2687350,2687350,0,0,7341,3893
0.857,3.429,95.714,0,0,0,0,2401204,2401204,0,0,6378,3478
2.618,6.283,90.838,0.262,0,0,32768,4591962,4591962,0,0,6411,6391
1.799,8.997,89.203,0,0,0,0,4984088,4984088,0,0,6818,6822
1.302,9.115,89.323,0.260,0,0,12730368,4882650,4882650,0,0,6755,6778
1.832,7.592,90.576,0,0,0,0,4985602,4985602,0,0,6817,6834
2.591,7.513,89.896,0,0,0,0,4935640,4935640,0,0,6746,6765
1.305,7.311,90.601,0.783,0,0,40960,4575308,4575308,0,0,6273,6297
1.538,10,88.462,0,0,0,0,4761530,4761530,0,0,6724,6643
3.101,7.494,89.406,0,0,0,16384,4990144,4990144,0,0,6845,6862
1.042,8.594,90.365,0,0,0,0,4990144,4990144,0,0,6820,6833
2.850,7.254,89.896,0,0,0,0,4925042,4925042,0,0,6737,6751
2.083,7.292,90.365,0.260,0,0,40960,4891812,4891812,0,0,6696,6717
1.823,8.073,90.104,0,0,0,0,4985602,4985602,0,0,6821,6833
2.332,7.772,89.896,0,0,0,0,4985602,4985602,0,0,6819,6838
1.292,9.302,89.406,0,0,0,0,4985602,4985602,0,0,6820,6829
