"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-no-macsec-1464-1464-dstat.csv",,,,"Date:","21 Jan 2020 16:51:01 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.186,6.758,89.912,0.144,0,259138.967,302361.417,0,0,0,0,6607.944,11510.316
1.667,8.333,90,0,0,0,196608,994200,994200,0,0,25094,17394
3.504,8.895,87.601,0,0,0,0,1006680,1006680,0,0,25304,17484
3.133,12.010,84.856,0,0,0,0,1006680,1006680,0,0,25333,17487
3.886,10.881,85.233,0,0,0,0,973440,973320,0,0,16973,16751
3.675,8.661,87.402,0.262,0,0,65536,987480,987480,0,0,16616,17040
3.665,10.209,86.126,0,0,0,0,960480,960480,0,0,16230,16681
1.872,10.963,87.166,0,0,0,0,2005824,2005824,0,0,24493,16928
4.922,9.845,85.233,0,0,0,0,1980618,1981578,0,0,19299,16545
4.580,10.687,84.733,0,0,0,0,2029384,2029384,0,0,16531,16922
5.598,9.669,84.733,0,0,0,40960,1997392,1997392,0,0,16272,16662
3.183,8.488,88.329,0,0,0,0,2047240,2047240,0,0,16660,17061
3.403,9.424,87.173,0,0,0,0,2048232,2048232,0,0,16666,17083
3.166,10.554,86.280,0,0,0,0,3345292,3345796,0,0,20839,15266
2.078,10.390,87.532,0,0,0,0,3440304,3439800,0,0,20619,14216
2.821,10,86.923,0.256,0,0,40960,3305736,3305736,0,0,14459,13603
2.338,8.571,89.091,0,0,0,0,3427704,3427704,0,0,13746,14055
3.866,7.474,88.660,0,0,0,8192,3422160,3422160,0,0,13731,14056
3.627,7.513,88.860,0,0,0,0,3424176,3424176,0,0,13738,14069
2.850,8.031,89.119,0,0,0,0,3419136,3419136,0,0,13706,14027
3.109,9.326,87.306,0.259,0,0,40960,4159672,4159672,0,0,11878,12225
3.125,6.771,90.104,0,0,0,0,6203696,6203696,0,0,12359,12635
5.115,6.394,88.491,0,0,0,57344,6203696,6203696,0,0,12391,12684
2.571,8.483,88.946,0,0,0,0,6206804,6206786,0,0,12370,12630
4.798,7.828,87.374,0,0,0,0,6205728,6205728,0,0,12368,12601
2.842,7.494,89.406,0.258,0,0,81920,6178296,6178296,0,0,12317,12598
3.876,6.718,89.406,0,0,0,0,6210808,6210808,0,0,12376,12670
2.872,6.789,90.339,0,0,0,8192,6212840,6212840,0,0,12376,12660
3.636,7.532,88.831,0,0,0,0,6075360,6075360,0,0,11619,11971
3.618,7.235,89.147,0,0,0,0,7630944,7630944,0,0,11119,11364
3.175,4.762,92.063,0,0,0,57344,7891248,7891248,0,0,11473,11753
3.077,7.692,89.231,0,0,0,0,7923264,7923264,0,0,11520,11744
4.040,9.596,86.111,0.253,0,0,28327936,7885680,7885680,0,0,11630,11922
4.615,6.410,88.974,0,0,0,0,7933008,7933008,0,0,11544,11816
3.030,9.091,87.879,0,0,0,0,7933068,7933050,0,0,11547,11785
5.808,6.566,87.626,0,0,0,57344,7909344,7909344,0,0,11521,11777
3.817,7.634,88.550,0,0,0,0,7939968,7939968,0,0,11554,11803
4.293,8.838,86.869,0,0,0,90112,7561624,7561624,0,0,10998,11290
4.156,5.974,89.870,0,0,0,0,8041798,8041798,0,0,11044,11269
2.564,8.205,89.231,0,0,0,0,8359568,8359568,0,0,11447,11672
3.085,7.198,89.460,0.257,0,0,40960,8325574,8325574,0,0,11436,11674
3.368,6.477,90.155,0,0,0,0,8362524,8362524,0,0,11452,11685
3.403,5.236,91.361,0,0,0,0,8368436,8368436,0,0,11457,11699
3.125,6.250,90.625,0,0,0,0,8366958,8366958,0,0,11458,11715
2.078,7.273,90.649,0,0,0,0,8361046,8361046,0,0,11455,11688
1.562,7.812,90.365,0.260,0,0,32768,8341832,8341832,0,0,11430,11685
