"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/ping-1579625450-orig-1500-dstat.csv",,,,"Date:","21 Jan 2020 17:27:13 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
13.390,4.070,82.468,0.072,0,92129.342,141058.840,0,0,0,0,17696.886,5955.586
2.821,9.744,87.436,0,0,0,0,642960,643112,0,0,8757,23207
2.051,10,87.692,0.256,0,0,294912,613016,612864,0,0,8462,24039
3.788,9.343,86.869,0,0,0,0,606784,606936,0,0,8277,23681
2.083,8.333,89.583,0,0,0,0,604960,604910,0,0,8239,23580
5.276,7.789,86.935,0,0,0,0,589530,589682,0,0,8033,23079
3.474,11.166,85.360,0,0,0,0,608304,608304,0,0,8317,23648
4.534,9.068,86.398,0,0,0,65536,610128,610128,0,0,8334,22906
3.846,7.949,88.205,0,0,0,0,607848,607848,0,0,8270,23739
2.278,10.127,87.595,0,0,0,0,587024,587024,0,0,8012,22903
1.289,10.052,88.660,0,0,0,0,608000,607848,0,0,8270,23755
3.101,8.010,88.889,0,0,0,0,608760,608912,0,0,8294,23721
3.518,10.050,86.181,0.251,0,0,49152,606176,606176,0,0,8271,23720
5.102,8.673,86.224,0,0,0,0,719448,719576,0,0,8786,20635
4.250,11.250,84.500,0,0,0,0,1060360,1060080,0,0,11646,23016
2.887,8.661,88.451,0,0,0,0,1058680,1058960,0,0,11604,22979
2.394,7.979,89.628,0,0,0,0,1002400,1002120,0,0,9857,20499
2.799,8.906,88.041,0.254,0,0,32768,1023680,1023680,0,0,7596,20533
3.827,8.163,88.010,0,0,0,0,1069422,1069600,0,0,7914,20876
3.646,6.510,89.844,0,0,0,0,1069040,1069040,0,0,7901,20896
4.051,8.608,87.342,0,0,0,0,1067360,1067360,0,0,7899,20965
2.525,9.848,87.626,0,0,0,0,1039154,1038976,0,0,7711,20348
3.038,9.620,87.342,0,0,0,49152,1059240,1059520,0,0,7857,20661
3.015,10.302,86.683,0,0,0,0,1069600,1069320,0,0,7922,20806
4.030,9.068,86.902,0,0,0,0,1065400,1065400,0,0,7887,21058
3.030,9.343,87.626,0,0,0,0,1050560,1050840,0,0,7788,20432
3.117,8.052,88.831,0,0,0,0,1027336,1027592,0,0,7349,19245
3.308,8.651,87.786,0.254,0,0,65536,1744680,1744144,0,0,6835,16661
1.823,7.812,90.365,0,0,0,0,1862600,1862600,0,0,7193,17801
2.513,10.302,87.186,0,0,0,0,1860992,1861528,0,0,7222,17803
2.525,9.596,87.879,0,0,0,0,1796672,1796136,0,0,6965,17206
1.558,8.312,90.130,0,0,0,0,1862064,1862600,0,0,7199,17812
2.326,8.786,88.372,0.517,0,0,14966784,1811680,1811680,0,0,7091,17478
3.562,8.142,88.295,0,0,0,0,1867424,1867424,0,0,7134,17685
