"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aesgcm-we-frag-jumbo-dstat.csv",,,,"Date:","07 Jan 2020 23:59:36 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.020,8.584,87.361,0.035,0,13934.004,38184.957,0,0,0,0,4896.327,11533.888
0,1.504,98.496,0,0,0,0,521,20237,0,0,158,80
0,0,99.750,0.250,0,0,131072,0,1514,0,0,95,54
0,0,100,0,0,0,0,0,0,0,0,84,29
0,0,100,0,0,0,0,0,1514,0,0,91,35
0,0,100,0,0,0,0,0,0,0,0,89,29
0,0,100,0,0,0,0,0,0,0,0,81,21
0,0,100,0,0,0,0,0,1514,0,0,88,36
0,0,100,0,0,0,24576,0,0,0,0,96,47
0,0,100,0,0,0,0,0,0,0,0,84,29
0,0,100,0,0,0,0,0,0,0,0,89,31
1.504,3.759,94.737,0,0,0,0,1947,20796,0,0,262,233
0,0,99.749,0.251,0,0,360448,0,1514,0,0,152,103
0,0,100,0,0,0,0,0,1514,0,0,87,34
0,0,99.749,0.251,0,0,114688,0,1514,0,0,92,43
0,0,100,0,0,0,0,0,1514,0,0,88,33
0,0,100,0,0,0,0,0,0,0,0,84,27
0,0,100,0,0,0,0,0,0,0,0,92,37
0,0,100,0,0,0,0,0,1514,0,0,87,33
0,0,100,0,0,0,0,0,0,0,0,92,28
0,0,100,0,0,0,24576,0,0,0,0,92,39
1.247,4.489,94.264,0,0,0,0,1924,19263,0,0,272,262
0,0,100,0,0,0,0,0,3028,0,0,94,46
0,0,100,0,0,0,0,0,1514,0,0,89,32
0,0,100,0,0,0,0,0,0,0,0,85,27
0,0,100,0,0,0,0,0,3028,0,0,93,39
0,0,100,0,0,0,81920,0,0,0,0,91,45
0,0,100,0,0,0,0,0,0,0,0,90,34
0,0,100,0,0,0,0,0,1514,0,0,87,37
0,0,100,0,0,0,0,0,1514,0,0,89,30
0,0,100,0,0,0,0,0,0,0,0,86,27
1.253,2.506,96.241,0,0,0,0,986,1294,0,0,199,177
0,1.504,98.246,0.251,0,0,65536,938,20998,0,0,168,124
0,0,100,0,0,0,0,0,1514,0,0,91,37
0,0,100,0,0,0,0,0,0,0,0,84,29
0,0,100,0,0,0,0,0,3028,0,0,92,35
0,0,100,0,0,0,0,0,0,0,0,85,27
0,0,100,0,0,0,73728,0,0,0,0,97,46
0,0,100,0,0,0,0,0,1514,0,0,84,33
0,0,100,0,0,0,0,0,1514,0,0,89,34
0,0,100,0,0,0,0,0,0,0,0,85,27
0,0,100,0,0,0,0,0,0,0,0,85,26
1.005,4.020,94.975,0,0,0,0,1942,20778,0,0,276,269
0,0,99.749,0.251,0,0,90112,0,1514,0,0,99,52
0,0,100,0,0,0,0,0,1514,0,0,89,32
0,0,100,0,0,0,0,0,3028,0,0,88,32
0,0,100,0,0,0,0,0,0,0,0,91,36
0,0,100,0,0,0,0,0,0,0,0,84,31
0,0,100,0,0,0,90112,0,0,0,0,135,80
0,0,100,0,0,0,24576,0,3028,0,0,97,50
0,0,100,0,0,0,0,0,0,0,0,89,35
0,0,100,0,0,0,0,0,0,0,0,84,29
1.504,3.759,94.737,0,0,0,0,1924,19263,0,0,270,258
0,0,100,0,0,0,73728,0,3028,0,0,101,49
0,0,100,0,0,0,0,0,1514,0,0,89,33
0,0,99.750,0.250,0,0,98304,0,0,0,0,91,42
0,0,100,0,0,0,0,0,4542,0,0,94,38
0,0,100,0,0,0,0,0,0,0,0,90,38
0,0,100,0,0,0,0,0,0,0,0,85,25
0,0,100,0,0,0,0,0,3134,0,0,94,41
0,0,100,0,0,0,0,0,0,0,0,88,34
0,0,100,0,0,0,24576,0,0,0,0,89,39
0.503,1.759,97.739,0,0,0,0,1092,1310,0,0,171,149
0.752,2.005,97.243,0,0,0,0,938,20998,0,0,208,140
0,0,100,0,0,0,0,0,1514,0,0,90,31
0,0,100,0,0,0,0,0,0,0,0,84,29
0,0,100,0,0,0,0,0,3028,0,0,89,33
0,0,99.750,0.250,0,0,81920,0,1514,0,0,97,51
0,0,100,0,0,0,0,0,0,0,0,86,35
0,0,100,0,0,0,0,0,1514,0,0,92,39
0,0,100,0,0,0,0,0,1514,0,0,87,36
0,0,100,0,0,0,0,0,0,0,0,88,29
0,0,100,0,0,0,0,0,0,0,0,88,34
1.259,3.778,94.962,0,0,0,24576,1924,20778,0,0,282,245
0,0,100,0,0,0,0,0,1514,0,0,87,32
0,0,100,0,0,0,0,0,1514,0,0,90,30
0,0,100,0,0,0,0,0,1514,0,0,87,31
0,0,100,0,0,0,0,0,3028,0,0,94,41
0,0,99.750,0.250,0,0,90112,0,0,0,0,99,50
0,0,100,0,0,0,0,0,0,0,0,88,33
0,0,100,0,0,0,0,0,3028,0,0,88,38
0,0,100,0,0,0,0,0,0,0,0,89,33
0,0,100,0,0,0,0,0,0,0,0,85,31
2.261,3.015,94.724,0,0,0,98304,1924,19283,0,0,306,283
0,0,100,0,0,0,0,0,3028,0,0,94,30
0,0,100,0,0,0,0,0,1514,0,0,94,39
0,0,100,0,0,0,0,0,0,0,0,83,26
0,0,100,0,0,0,0,0,4542,0,0,97,42
0,0,100,0,0,0,0,0,0,0,0,83,32
0,0,99.749,0.251,0,0,81920,0,0,0,0,95,47
0,0,100,0,0,0,0,0,1514,0,0,84,30
0,0,100,0,0,0,0,0,1514,0,0,91,36
0,0,100,0,0,0,0,0,0,0,0,84,31
0.752,0.251,98.997,0,0,0,65536,984,1312,0,0,136,102
0.501,2.757,96.742,0,0,0,0,938,20998,0,0,218,163
0,0.251,99.749,0,0,0,98304,0,1514,0,0,97,44
0,0,100,0,0,0,0,0,0,0,0,88,31
0,0,100,0,0,0,0,0,4542,0,0,91,38
0,0,100,0,0,0,0,0,0,0,0,89,34
0,0,100,0,0,0,0,0,0,0,0,85,29
0,0,100,0,0,0,0,0,1514,0,0,88,36
0,0,99.750,0.250,0,0,24576,0,1514,0,0,95,48
0,0,100,0,0,0,0,0,0,0,0,90,37
0,0,100,0,0,0,0,0,0,0,0,85,32
8.728,12.968,70.823,7.481,0,10592256,3457024,1924,20778,0,0,1132,2120
1.500,2.250,91.500,4.750,0,1228800,3481600,0,1514,0,0,695,1482
0,0,100,0,0,0,0,0,1514,0,0,92,38
0,0,100,0,0,0,0,0,4542,0,0,96,40
0,0,100,0,0,0,0,0,0,0,0,90,36
0,0,100,0,0,0,0,0,0,0,0,86,28
0,0,100,0,0,0,0,0,0,0,0,84,22
0,0,99.749,0.251,0,0,106496,0,3028,0,0,94,41
0,0,100,0,0,0,0,0,0,0,0,88,33
0,0,100,0,0,0,16384,0,0,0,0,93,36
1.005,3.518,95.477,0,0,0,0,1924,19283,0,0,266,209
0,0,100,0,0,0,0,0,3028,0,0,97,42
0,0,100,0,0,0,0,0,1514,0,0,85,28
0,0,100,0,0,0,106496,0,0,0,0,94,44
0,0,100,0,0,0,0,0,4542,0,0,93,45
0,0,100,0,0,0,0,0,0,0,0,85,29
0,0,100,0,0,0,0,0,0,0,0,85,31
0,0,100,0,0,0,0,0,1514,0,0,89,33
0,0,100,0,0,0,0,0,1514,0,0,90,38
0.250,0,99.500,0.250,0,0,606208,0,0,0,0,255,211
0.500,1.750,97.750,0,0,0,0,986,1293,0,0,147,97
0.750,2,97.250,0,0,0,0,938,20998,0,0,214,159
0,0,100,0,0,0,0,0,1514,0,0,86,31
0,0,100,0,0,0,0,0,0,0,0,90,33
0,0,100,0,0,0,81920,0,3028,0,0,105,52
0,0,100,0,0,0,98304,0,1514,0,0,99,51
0,0,100,0,0,0,0,0,0,0,0,83,24
0,0,100,0,0,0,0,0,1514,0,0,89,31
0,0,100,0,0,0,0,0,1514,0,0,86,34
0,0,100,0,0,0,0,0,0,0,0,89,34
0,0,100,0,0,0,0,0,0,0,0,85,31
1.493,4.229,94.030,0.249,0,0,24576,1924,20796,0,0,279,246
0,0,100,0,0,0,0,0,1514,0,0,82,25
0,0,100,0,0,0,0,0,1514,0,0,94,38
0,0,100,0,0,0,0,0,3028,0,0,89,36
0,0,100,0,0,0,32768,0,1514,0,0,110,56
0,0,100,0,0,0,98304,0,0,0,0,93,41
0,0,100,0,0,0,0,0,0,0,0,97,45
0,0,100,0,0,0,0,0,3028,0,0,89,36
0,0,100,0,0,0,0,0,0,0,0,87,26
0,0,100,0,0,0,8192,0,0,0,0,92,37
0.750,4.250,95,0,0,0,0,1924,19264,0,0,269,226
0,0.249,99.501,0.249,0,0,81920,0,3028,0,0,102,56
0,0,100,0,0,0,0,0,1514,0,0,91,39
0,0,100,0,0,0,0,0,0,0,0,92,33
0,0,100,0,0,0,0,0,4542,0,0,93,37
0,0,100,0,0,0,0,0,0,0,0,89,27
0,0,100,0,0,0,0,0,0,0,0,83,27
0,0,100,0,0,0,24576,0,3028,0,0,96,49
0,0,100,0,0,0,0,0,0,0,0,85,32
0,0,100,0,0,0,0,0,0,0,0,90,34
0.752,1.253,97.995,0,0,0,0,986,1294,0,0,150,106
0.750,2.750,96.500,0,0,0,0,938,20998,0,0,216,151
0,0,100,0,0,0,0,0,1514,0,0,90,39
0,0,99.750,0.250,0,0,81920,0,0,0,0,95,44
0,0,100,0,0,0,90112,0,4542,0,0,136,79
0,0,100,0,0,0,0,0,0,0,0,92,33
0,0,100,0,0,0,0,0,0,0,0,89,33
0,0,100,0,0,0,0,0,1514,0,0,86,26
0,0,100,0,0,0,0,0,1514,0,0,89,34
0,0,100,0,0,0,24576,0,0,0,0,95,45
0,0,100,0,0,0,0,0,0,0,0,83,29
1.763,3.275,94.962,0,0,0,0,1924,20794,0,0,286,242
0,0,100,0,0,0,0,0,1514,0,0,92,40
0,0,100,0,0,0,0,0,1514,0,0,88,32
0,0,100,0,0,0,73728,0,1514,0,0,99,41
0,0,99.749,0.251,0,0,90112,0,3028,0,0,95,45
0,0,100,0,0,0,0,0,0,0,0,85,27
