"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-morus640-e-1500-dstat.csv",,,,"Date:","08 Jan 2020 03:42:37 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.319,8.299,87.347,0.035,0,9995.184,38337.005,0,0,0,0,4854.204,11051.912
0.820,19.399,79.781,0,0,0,0,125462,30461170,0,0,3319,251
5.398,10.511,84.091,0,0,0,0,131522,32028852,0,0,3354,252
8.757,7.345,83.616,0.282,0,0,122880,137700,31892410,0,0,3383,274
11.142,5.850,83.008,0,0,0,0,139842,31311034,0,0,3351,234
9.456,4.871,85.673,0,0,0,0,138854,31211110,0,0,3331,255
7.429,8,84.571,0,0,0,0,138210,31928746,0,0,3405,253
8.357,6.340,85.303,0,0,0,0,139536,31744038,0,0,3335,238
8.023,7.163,84.814,0,0,0,0,140658,31821252,0,0,3349,247
8.883,6.017,85.100,0,0,0,24576,139944,31622918,0,0,3384,271
9.169,5.731,85.100,0,0,0,16384,137904,31592638,0,0,3360,268
3.655,15.666,80.679,0,0,0,0,115738,22693949,0,0,2681,334
1.923,18.132,79.945,0,0,0,0,126066,33596882,0,0,3380,206
7.803,6.069,86.127,0,0,0,0,136782,31600208,0,0,3356,254
8.621,5.747,85.632,0,0,0,0,136782,31426098,0,0,3314,253
8.286,6.857,82.286,2.571,0,0,1474560,137904,31912092,0,0,3436,386
9.143,6,84.857,0,0,0,0,136170,31503312,0,0,3335,244
9.632,6.232,84.136,0,0,0,0,139230,31797028,0,0,3369,245
6.997,6.706,86.297,0,0,0,0,136578,31542676,0,0,3327,266
8.908,5.172,85.920,0,0,0,0,136986,31401874,0,0,3285,244
6.647,7.514,85.838,0,0,0,0,133926,31644114,0,0,3308,252
8.130,6.504,85.366,0,0,0,40960,121116,22446171,0,0,2749,427
1.075,23.118,75.806,0,0,0,0,128010,33409944,0,0,3468,194
5.322,10.924,83.754,0,0,0,0,127110,31878620,0,0,3292,223
10.286,4.286,85.429,0,0,0,0,138210,31333744,0,0,3356,244
7.205,7.493,85.303,0,0,0,0,139026,31697104,0,0,3391,256
10.256,4.843,84.900,0,0,0,0,141270,31533592,0,0,3364,261
8.046,6.322,85.345,0.287,0,0,81920,142494,31532078,0,0,3378,291
8.671,5.202,86.127,0,0,0,0,140352,31247446,0,0,3329,251
7.781,6.052,86.167,0,0,0,0,140760,32145248,0,0,3406,262
6.395,7.849,85.756,0,0,0,8192,135354,31367052,0,0,3337,245
8.564,4.420,87.017,0,0,0,0,117662,24297482,0,0,2764,307
3.641,12.325,84.034,0,0,0,0,124238,26659304,0,0,3006,286
6.286,8.857,84.571,0.286,0,0,81920,137536,31425700,0,0,3355,246
8.262,7.123,84.615,0,0,0,0,135864,31833364,0,0,3379,253
8.262,7.407,84.330,0,0,0,57344,138618,31674394,0,0,3392,266
9.195,5.172,85.632,0,0,0,0,141672,31483630,0,0,3362,246
8.382,5.780,85.838,0,0,0,0,137904,31462434,0,0,3371,254
7.205,6.916,85.879,0,0,0,0,136476,31627460,0,0,3385,253
7.310,6.725,85.965,0,0,0,40960,138210,32204294,0,0,3441,268
9.296,7.042,83.662,0,0,0,0,136986,31712244,0,0,3382,250
8,7.143,84.857,0,0,0,0,136680,31790972,0,0,3371,258
2.639,16.359,81.003,0,0,0,0,116152,24743642,0,0,2860,331
3.279,17.213,79.508,0,0,0,0,128236,33395662,0,0,3418,198
7.163,8.023,84.814,0,0,0,0,138316,31875756,0,0,3382,258
9.551,7.303,83.146,0,0,0,0,140046,31724356,0,0,3395,253
7.450,6.304,85.960,0.287,0,0,81920,137542,31150652,0,0,3290,261
8.832,6.268,84.900,0,0,0,0,137904,31547218,0,0,3334,248
10,4.857,85.143,0,0,0,0,138006,31741010,0,0,3392,255
8.908,5.747,85.345,0,0,0,0,135966,31436696,0,0,3328,249
10.423,5.352,84.225,0,0,0,0,138006,31622918,0,0,3351,265
8.621,6.034,85.345,0,0,0,0,137904,31562358,0,0,3329,254
5.495,7.692,86.264,0.549,0,0,24576,113546,20843308,0,0,2549,374
0,23.670,76.330,0,0,0,0,119548,33945042,0,0,3427,168
6.340,7.493,86.167,0,0,0,0,137732,31445882,0,0,3258,251
