"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-orig-we-dstat.csv",,,,"Date:","07 Jan 2020 17:41:41 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.212,4.344,93.399,0.045,0,43983.073,37589.762,0,0,0,0,3544.660,5140.728
9.750,13.750,76.500,0,0,0,393216,571800,14828694,0,0,10982,31045
12,14,74,0,0,0,0,655966,17327446,0,0,12132,36145
11.055,14.322,74.623,0,0,0,0,660598,16998266,0,0,12152,36420
10.973,14.963,74.065,0,0,0,0,646724,16687206,0,0,12235,36193
11.335,14.106,74.559,0,0,0,0,730520,16809516,0,0,11767,37004
12.531,13.283,74.185,0,0,0,131072,701178,16740056,0,0,11701,37581
11.529,14.286,74.185,0,0,0,0,770920,16403326,0,0,11527,38247
10.276,15.288,74.436,0,0,0,0,758314,16324708,0,0,11597,38072
10.500,15.250,74.250,0,0,0,0,652984,16579996,0,0,11972,36838
10.224,15.960,73.815,0,0,0,0,699228,16380676,0,0,12010,37229
8,14.250,77.750,0,0,0,0,493338,12281410,0,0,9283,27816
9.091,15.909,75,0,0,0,81920,667202,17155306,0,0,12048,36566
9.500,16.500,74,0,0,0,0,650996,17161346,0,0,12119,36301
9.750,16,74.250,0,0,0,0,689350,16832166,0,0,11879,36526
11.250,14.750,74,0,0,0,0,731678,16936356,0,0,11664,36947
10.174,16.129,73.697,0,0,0,0,679566,16605666,0,0,12019,36633
10.579,14.610,74.811,0,0,0,0,744488,16635866,0,0,11553,36931
10.076,15.365,74.559,0,0,0,24576,642852,16628316,0,0,12028,36349
12.500,13.250,74.250,0,0,0,0,681950,16303666,0,0,12062,37019
11,14.750,74.250,0,0,0,0,875202,16140586,0,0,10920,39235
5.750,15,79.250,0,0,0,0,480438,11059266,0,0,8365,25345
10.973,14.963,74.065,0,0,0,0,615966,17241376,0,0,12395,36082
11.809,13.317,74.623,0.251,0,0,81920,635084,16963536,0,0,12067,36585
9.726,16.459,73.815,0,0,0,0,618990,16856326,0,0,12288,36825
9.774,16.040,74.185,0,0,0,0,698730,16394168,0,0,11954,37359
13.500,12.500,74,0,0,0,0,733734,16637376,0,0,12015,37826
12.500,13.500,74,0,0,0,0,664366,16303666,0,0,12388,36841
11.055,14.573,74.372,0,0,0,24576,762282,16182866,0,0,11555,37917
11.500,14,74.500,0,0,0,0,731718,16102836,0,0,11791,37283
8,17.750,74.250,0,0,0,0,626398,16261288,0,0,12533,36109
7.053,14.610,78.338,0,0,0,0,528822,12228928,0,0,9101,28452
11.779,14.035,74.185,0,0,0,8192,641108,17046488,0,0,12352,36146
10.474,15.212,74.065,0.249,0,0,81920,676824,16903136,0,0,12011,36356
11.028,14.286,74.687,0,0,0,0,566400,16804888,0,0,12527,35237
10.500,14.750,74.750,0,0,0,0,487158,16705130,0,0,12895,34556
11.278,13.784,74.937,0,0,0,0,485688,16674930,0,0,12889,34556
12.030,13.033,74.937,0,0,0,106496,488138,16622080,0,0,12928,34522
9.273,15.789,74.937,0,0,0,24576,484120,16593390,0,0,12858,34389
12,13,75,0,0,0,0,483238,16552620,0,0,12796,34318
11.278,13.784,74.937,0,0,0,0,483826,16631140,0,0,12873,34382
11,13.750,75.250,0,0,0,0,471697,15577459,0,0,12080,32825
7.089,13.671,79.241,0,0,0,81920,480613,12178986,0,0,9163,26642
10.474,15.461,73.815,0.249,0,0,114688,613622,17235336,0,0,12624,36242
9.774,16.040,74.185,0,0,0,0,667130,16927296,0,0,12202,36745
11.166,15.385,73.449,0,0,0,0,690562,16661536,0,0,11978,37675
10.750,15.250,74,0,0,0,0,612486,16883408,0,0,12467,36840
7.980,17.955,74.065,0,0,0,0,682848,16469766,0,0,11904,37286
10.276,15.789,73.935,0,0,0,24576,740250,16718916,0,0,11772,38205
9.750,16.250,74,0,0,0,0,697744,16504496,0,0,11900,37523
11.139,13.671,75.190,0,0,0,0,756110,16401816,0,0,11523,38145
9.750,16.250,74,0,0,0,0,743800,16080186,0,0,11866,37579
8.772,13.033,78.195,0,0,0,0,485276,12384061,0,0,9420,27727
8.500,17.500,73.750,0.250,0,0,81920,626224,17469386,0,0,12271,36133
10.199,16.169,73.632,0,0,0,0,659374,17191546,0,0,12029,37201
10.224,15.711,74.065,0,0,0,0,602088,16672106,0,0,12566,36473
11.307,14.322,74.372,0,0,0,0,706052,16441076,0,0,11870,37546
10.224,16.209,73.566,0,0,0,0,731050,16718916,0,0,11679,38176
10.644,16.089,73.267,0,0,0,24576,656508,16287056,0,0,12307,36604
11.529,14.035,74.436,0,0,0,0,682548,16327826,0,0,11898,36972
11.250,14.750,74,0,0,0,0,740520,16350476,0,0,11723,37834
9.250,16.500,74.250,0,0,0,0,668246,16244678,0,0,12177,36625
9.184,11.990,78.827,0,0,0,0,566753,11842443,0,0,8837,28667
10.025,15.539,74.185,0.251,0,0,81920,617734,17351606,0,0,12690,36446
11,15,74,0,0,0,0,653340,17315366,0,0,12151,36757
