"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-aesgcm-e-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","08 Jan 2020 00:17:10 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.891,8.311,87.763,0.035,0,13844.670,37675.632,0,0,0,0,4738.909,11156.322
0.765,2.296,96.684,0.255,0,0,90112,124176,124332,0,0,1725,3907
2.278,3.797,93.924,0,0,0,24576,112008,112008,0,0,1562,3714
1.768,4.545,93.687,0,0,0,0,112270,112164,0,0,1561,3677
1.777,6.599,91.371,0.254,0,0,81920,110448,110292,0,0,1661,3781
0.761,5.076,94.162,0,0,0,0,111696,111958,0,0,1577,3752
2.525,3.788,93.687,0,0,0,0,112098,113558,0,0,1560,3669
4.087,6.731,89.183,0,0,0,0,109512,109512,0,0,1545,3583
3.234,4.478,92.289,0,0,0,0,109200,109200,0,0,1527,3573
4.773,6.444,88.544,0.239,0,0,40960,108888,108888,0,0,1563,3588
5.450,6.635,87.915,0,0,0,0,109200,109200,0,0,1548,3589
3.148,6.780,90.073,0,0,0,0,109200,109200,0,0,1543,3574
1.995,5.486,92.519,0,0,0,24576,109200,109200,0,0,1543,3585
5.647,6.824,87.529,0,0,0,0,109200,109200,0,0,1558,3589
4.358,6.053,89.588,0,0,0,49152,108888,108888,0,0,1561,3584
4.338,10.959,84.703,0,0,0,0,109200,109200,0,0,1591,3585
7.692,8.145,84.163,0,0,0,0,109290,110750,0,0,1607,3602
2.757,4.261,92.982,0,0,0,49152,109200,109200,0,0,1544,3597
1.044,2.089,96.867,0,0,0,0,109200,109200,0,0,1504,3567
2.750,4.250,92.750,0.250,0,0,81920,108994,108888,0,0,1528,3581
0,0.535,99.465,0,0,0,0,109200,109200,0,0,1492,3565
2.500,5,92.500,0,0,0,0,109668,109668,0,0,2019,3993
1.285,3.856,94.859,0,0,0,253952,109824,109930,0,0,2245,4273
1.279,4.092,94.629,0,0,0,0,110292,110292,0,0,2239,4317
1.282,3.846,94.615,0.256,0,0,24576,110136,110136,0,0,2248,4329
1.763,5.290,92.947,0,0,0,0,110292,110292,0,0,2250,4327
2.020,4.798,93.182,0,0,0,0,110448,110448,0,0,2255,4331
3.659,5.854,90.488,0,0,0,8192,109512,109512,0,0,1692,3736
5.463,6.176,88.361,0,0,0,0,109200,109200,0,0,1553,3576
4.276,7.838,87.886,0,0,0,49152,108966,108966,0,0,1562,3590
6.308,6.776,86.916,0,0,0,0,109200,109200,0,0,1572,3595
4.828,9.885,85.287,0,0,0,0,109200,109200,0,0,1568,3584
7.551,7.551,84.668,0.229,0,0,0,108420,108264,0,0,1576,3570
2.041,3.827,94.133,0,0,0,2752512,109668,109824,0,0,2242,4314
2.778,3.788,93.182,0.253,0,0,57344,109824,109824,0,0,2166,4242
6.834,8.656,84.510,0,0,0,0,109200,109200,0,0,1599,3592
4.677,12.695,82.628,0,0,0,0,109200,109200,0,0,1617,3575
1.523,4.315,94.162,0,0,0,0,109200,109200,0,0,1516,3570
2.041,3.061,94.898,0,0,0,0,109356,109356,0,0,1532,3599
5.981,5.263,88.756,0,0,0,24576,109044,109044,0,0,1559,3593
5.287,9.425,85.287,0,0,0,0,109200,109200,0,0,1586,3598
6.279,7.442,86.279,0,0,0,0,109200,109200,0,0,1581,3593
