"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-chachapoly-e-1500-1500-dstat.csv",,,,"Date:","08 Jan 2020 02:22:24 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.206,8.760,87.000,0.035,0,11212.386,37735.685,0,0,0,0,5078.599,12310.445
0.256,1.282,98.462,0,0,0,0,137436,137436,0,0,2777,1858
1.295,1.813,96.891,0,0,0,0,125998,125736,0,0,2552,1710
0.759,4.304,94.937,0,0,0,0,126048,126204,0,0,2560,1706
1.026,2.821,96.154,0,0,0,0,125736,125842,0,0,2558,1711
0,0.794,98.942,0.265,0,0,73728,124722,124722,0,0,1973,1696
0,0,100,0,0,0,0,124800,124800,0,0,1719,1686
0,0,100,0,0,0,0,124800,124800,0,0,1711,1678
0.518,2.332,97.150,0,0,0,8192,124800,124800,0,0,1733,1689
6.127,12.035,81.838,0,0,0,0,124800,124800,0,0,1794,1731
0.264,0.528,98.945,0.264,0,0,24576,124488,124488,0,0,1721,1695
0.267,0,99.733,0,0,0,0,124644,124644,0,0,1714,1680
0,0,100,0,0,0,0,124800,124800,0,0,1703,1679
0,0,100,0,0,0,0,124800,124800,0,0,1704,1684
0.503,5.528,93.970,0,0,0,0,124644,124644,0,0,1732,1685
0,0,100,0,0,0,24576,124488,124488,0,0,1715,1691
0,0,100,0,0,0,0,124800,124800,0,0,1716,1680
0,0.531,99.469,0,0,0,0,124800,124800,0,0,1700,1670
6.127,12.035,81.838,0,0,0,0,124906,124800,0,0,1793,1734
0,0,100,0,0,0,0,124644,124644,0,0,1698,1678
0,0,99.733,0.267,0,0,24576,124488,124488,0,0,1711,1693
0,0,100,0,0,0,0,124800,124800,0,0,1716,1680
0,0,100,0,0,0,0,124800,124906,0,0,1725,1686
0,0,100,0,0,0,139264,124800,124800,0,0,1787,1754
0,0,100,0,0,0,0,124800,124800,0,0,1719,1682
0,2.089,96.606,1.305,0,0,106496,121680,121680,0,0,1691,1658
0,0.531,99.469,0,0,0,0,124644,124644,0,0,1710,1682
0,0.267,99.733,0,0,0,0,124644,124644,0,0,1708,1680
1.813,1.036,97.150,0,0,0,8192,124878,124878,0,0,1727,1704
0,0,100,0,0,0,0,124644,124644,0,0,1712,1684
0,0.266,99.468,0.266,0,0,40960,124488,124332,0,0,1715,1696
0,0.794,99.206,0,0,0,0,124644,124800,0,0,1715,1681
0,1.058,98.942,0,0,0,0,124644,124644,0,0,1710,1674
1.036,2.073,96.632,0.259,0,0,2097152,123552,123552,0,0,1739,1698
0,0.267,99.733,0,0,0,1122304,124800,124644,0,0,1725,1693
0,0,99.733,0.267,0,0,57344,124332,124488,0,0,1722,1696
0.266,0,99.734,0,0,0,0,124800,124800,0,0,1719,1684
0,0.266,99.734,0,0,0,0,124644,124644,0,0,1715,1679
0,0,100,0,0,0,0,124800,124800,0,0,1717,1686
0,0,100,0,0,0,0,124800,124800,0,0,1716,1684
0,0,100,0,0,0,24576,124488,124488,0,0,1719,1691
1.256,4.523,94.221,0,0,0,0,124800,124800,0,0,1752,1684
6.158,1.478,92.365,0,0,0,0,124800,124644,0,0,1741,1726
0,0,100,0,0,0,0,124644,124800,0,0,1711,1672
0,0,100,0,0,0,0,124800,124800,0,0,1715,1683
0,0,99.733,0.267,0,0,24576,124488,124488,0,0,1724,1691
0,0,100,0,0,0,0,124800,124800,0,0,1714,1682
0,0,100,0,0,0,0,124800,124800,0,0,1717,1680
0,0,100,0,0,0,0,124800,124800,0,0,1705,1683
6.292,9.663,84.045,0,0,0,0,124906,124800,0,0,1791,1735
1.214,8.010,90.777,0,0,0,24576,124566,124566,0,0,1757,1696
2.663,6.780,90.557,0,0,0,0,124878,124878,0,0,1746,1703
0.266,0,99.734,0,0,0,0,124644,124644,0,0,1703,1676
0,0,100,0,0,0,0,124800,124800,0,0,1715,1680
0,0,100,0,0,0,0,124800,124800,0,0,1716,1687
0.265,0.265,99.204,0.265,0,0,24576,124488,124488,0,0,1719,1690
0.260,2.338,97.403,0,0,0,0,124800,124644,0,0,1727,1686
0,1.058,98.942,0,0,0,0,124644,124906,0,0,1731,1689
0,0,100,0,0,0,0,124800,124800,0,0,1716,1686
0,0,100,0,0,0,90112,124800,124800,0,0,1740,1724
0.763,3.817,95.165,0.254,0,0,24576,124488,124488,0,0,1731,1700
0.792,0.264,98.945,0,0,0,0,124800,124800,0,0,1717,1684
0.266,0,99.734,0,0,0,0,124644,124644,0,0,1714,1681
2.078,3.896,94.026,0,0,0,0,154436,154564,0,0,1635,1639
1.799,2.571,95.630,0,0,0,2949120,223224,222940,0,0,1737,1702
1.031,2.577,96.392,0,0,0,49152,223224,223508,0,0,1705,1680
0.769,3.333,95.897,0,0,0,0,224644,224360,0,0,1714,1667
1.034,2.326,96.641,0,0,0,0,224360,224644,0,0,1708,1668
1.031,2.577,96.392,0,0,0,0,223792,223792,0,0,1703,1667
1.279,3.069,95.652,0,0,0,0,224076,224076,0,0,1701,1658
1.020,3.316,95.408,0.255,0,0,24576,223508,223508,0,0,1714,1679
0.773,2.835,96.392,0,0,0,0,224076,224076,0,0,1708,1669
1.279,3.069,95.652,0,0,0,0,223792,223792,0,0,1707,1666
1.279,3.069,95.652,0,0,0,0,224438,224438,0,0,1714,1667
0.763,3.817,95.420,0,0,0,0,224360,224360,0,0,1709,1669
0.521,2.083,97.135,0.260,0,0,24576,223792,223792,0,0,1708,1669
1.028,2.828,96.144,0,0,0,0,224644,224644,0,0,1711,1672
0.517,2.842,96.641,0,0,0,0,224360,224360,0,0,1702,1664
1.535,2.558,95.908,0,0,0,0,224076,224076,0,0,1707,1672
1.026,3.077,95.897,0,0,0,0,224360,224360,0,0,1714,1676
0.258,3.608,96.134,0,0,0,24576,223792,223508,0,0,1710,1670
1.028,2.571,96.401,0,0,0,0,224076,224076,0,0,1703,1669
0.512,3.836,95.652,0,0,0,0,223792,224076,0,0,1704,1663
0.773,2.835,96.392,0,0,0,0,223792,223792,0,0,1705,1666
0.769,3.333,95.897,0,0,0,0,224076,224076,0,0,1708,1657
1.795,2.051,95.897,0.256,0,0,24576,223508,223224,0,0,1715,1675
1.036,2.073,96.891,0,0,0,0,224076,224360,0,0,1699,1661
1.279,3.069,95.652,0,0,0,0,224076,224076,0,0,1709,1665
1.790,2.813,95.396,0,0,0,0,224360,224076,0,0,1727,1732
1.289,2.320,96.392,0,0,0,0,224076,224360,0,0,1716,1681
0.767,3.581,95.652,0,0,0,40960,223792,223508,0,0,1714,1686
1.285,2.571,96.144,0,0,0,0,224076,224360,0,0,1712,1671
1.023,3.325,95.652,0,0,0,0,224076,224076,0,0,1712,1665
1.542,2.314,96.144,0,0,0,0,224076,224076,0,0,1731,1686
0.769,3.846,95.128,0.256,0,0,2957312,222656,222656,0,0,1730,1694
0.517,2.842,96.382,0.258,0,0,40960,223302,223302,0,0,1706,1664
0.515,2.835,96.649,0,0,0,0,224644,224644,0,0,1707,1662
0.514,3.342,96.144,0,0,0,0,224360,224360,0,0,1712,1669
1.295,1.813,96.891,0,0,0,0,224360,224360,0,0,1712,1678
1.550,1.809,96.641,0,0,0,49152,224076,224076,0,0,1735,1699
0.769,3.333,95.641,0.256,0,0,40960,223508,223508,0,0,1714,1678
2.041,2.551,95.408,0,0,0,0,224360,224360,0,0,1707,1662
0.514,3.085,96.401,0,0,0,0,224076,224076,0,0,1706,1662
1.028,2.828,96.144,0,0,0,0,224722,224438,0,0,1710,1672
0.515,3.093,96.392,0,0,0,0,224360,224360,0,0,1710,1667
1.034,2.326,96.382,0.258,0,0,24576,223792,224076,0,0,1720,1697
0.517,2.842,96.641,0,0,0,0,224360,224360,0,0,1706,1670
0.514,3.085,96.401,0,0,0,0,224360,224360,0,0,1705,1666
0.519,2.338,97.143,0,0,0,0,224076,223792,0,0,1703,1669
1.036,2.073,96.891,0,0,0,0,223792,223792,0,0,1708,1669
0.519,2.597,96.883,0,0,0,24576,223508,223792,0,0,1712,1678
1.538,2.308,96.154,0,0,0,0,224076,223792,0,0,1700,1662
1.036,2.073,96.891,0,0,0,0,224076,224076,0,0,1712,1665
1.790,2.558,95.652,0,0,0,0,223792,224076,0,0,1707,1672
1.028,2.828,96.144,0,0,0,0,224360,224076,0,0,1707,1667
0.509,4.071,95.165,0.254,0,0,24576,223508,223792,0,0,1717,1681
1.285,2.571,96.144,0,0,0,0,224182,224076,0,0,1708,1675
1.289,2.320,96.392,0,0,0,0,224076,224076,0,0,1701,1668
0.517,2.842,96.641,0,0,0,0,224154,224154,0,0,1709,1664
1.015,4.061,94.924,0,0,0,24576,224076,224076,0,0,1717,1678
1.285,2.571,96.144,0,0,0,57344,223508,223508,0,0,1710,1680
1.026,3.077,95.897,0,0,0,0,223792,223792,0,0,1699,1651
0.775,2.584,96.641,0,0,0,0,223792,223792,0,0,1705,1661
0.771,3.085,96.144,0,0,0,0,224076,224076,0,0,1706,1663
1.034,2.584,96.124,0.258,0,0,2965504,222088,221804,0,0,1712,1677
0.775,2.326,96.124,0.775,0,0,40960,220952,221236,0,0,1693,1662
0.518,3.886,95.596,0,0,0,0,209592,209308,0,0,1645,1633
1.279,4.859,93.862,0,0,0,0,383400,383400,0,0,2338,1598
0.777,2.591,96.632,0,0,0,0,414180,414286,0,0,2368,1640
1.034,2.326,96.641,0,0,0,0,410400,410940,0,0,1647,1613
0.765,3.827,95.153,0.255,0,0,32768,409860,409860,0,0,1654,1618
1.285,2.571,96.144,0,0,0,0,412560,412020,0,0,1647,1611
1.042,1.823,97.135,0,0,0,0,413100,413640,0,0,1657,1614
0,3.608,96.392,0,0,0,0,414180,414180,0,0,1660,1617
0.509,4.580,94.911,0,0,0,65536,414720,414720,0,0,1719,1671
2.545,2.545,94.911,0,0,0,24576,413100,413100,0,0,1671,1639
1.285,2.828,95.887,0,0,0,0,414180,414180,0,0,1656,1616
1.795,2.308,95.897,0,0,0,0,414720,414180,0,0,1660,1621
1.282,3.077,95.641,0,0,0,0,414180,414180,0,0,1662,1619
1.295,1.813,96.891,0,0,0,0,414180,414720,0,0,1659,1626
0,2.094,97.644,0.262,0,0,24576,413178,413178,0,0,1661,1626
0.777,2.591,96.632,0,0,0,0,413640,413100,0,0,1660,1613
0.518,2.591,96.891,0,0,0,0,413640,414180,0,0,1655,1612
0.526,1.316,98.158,0,0,0,0,414180,413640,0,0,1652,1619
1.031,2.577,96.392,0,0,0,0,413640,414180,0,0,1661,1619
1.044,1.567,97.389,0,0,0,24576,413100,412560,0,0,1662,1635
1.279,3.325,95.396,0,0,0,0,413640,414180,0,0,1658,1618
1.015,4.061,94.924,0,0,0,0,414720,414180,0,0,1657,1608
1.036,2.332,96.632,0,0,0,0,413640,414180,0,0,1664,1621
1.795,2.308,95.897,0,0,0,0,414180,414180,0,0,1662,1620
0.514,3.342,95.887,0.257,0,0,24576,413640,413640,0,0,1665,1630
0.763,4.326,94.911,0,0,0,0,414180,414180,0,0,1666,1622
0.515,3.351,96.134,0,0,0,0,414720,414720,0,0,1661,1618
0.254,4.822,94.924,0,0,0,0,413640,413640,0,0,1661,1611
1.036,2.591,96.114,0.259,0,0,2850816,408858,408858,0,0,1664,1623
0.515,3.351,96.134,0,0,0,40960,410400,409860,0,0,1656,1611
1.028,2.828,96.144,0,0,0,0,410940,410940,0,0,1650,1613
0.257,3.599,96.144,0,0,0,0,412020,412560,0,0,1650,1607
0.263,1.579,98.158,0,0,0,0,413640,413640,0,0,1653,1617
0.526,1.053,98.421,0,0,0,8192,414180,413640,0,0,1653,1618
1.804,1.804,96.134,0.258,0,0,24576,413100,413640,0,0,1669,1635
1.282,3.077,95.641,0,0,0,0,414720,414720,0,0,1668,1624
1.527,3.308,95.165,0,0,0,0,414258,414258,0,0,1665,1618
1.028,3.085,95.887,0,0,0,0,414720,414720,0,0,1660,1624
0.759,4.810,94.430,0,0,0,0,414720,414180,0,0,1671,1620
1.523,3.553,94.670,0.254,0,0,24576,413100,413640,0,0,1672,1628
0.759,4.557,94.684,0,0,0,0,413640,413640,0,0,1664,1615
1.031,2.835,96.134,0,0,0,0,412020,411480,0,0,1650,1609
1.028,2.828,96.144,0,0,0,0,410400,410940,0,0,1649,1607
1.026,3.077,95.897,0,0,0,0,410940,410940,0,0,1649,1612
0.777,2.591,96.632,0,0,0,57344,410400,410400,0,0,1661,1633
1.034,2.584,96.382,0,0,0,0,413100,413100,0,0,1653,1618
0.259,2.850,96.891,0,0,0,0,414180,414180,0,0,1657,1616
1.018,4.071,94.911,0,0,0,0,414180,414180,0,0,1656,1610
1.036,2.073,96.891,0,0,0,0,414720,414720,0,0,1660,1625
