"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","08 Jan 2020 04:00:02 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.372,8.345,87.247,0.036,0,9765.015,37834.742,0,0,0,0,4820.040,10803.216
0.775,0.258,98.708,0.258,0,0,81920,132756,132756,0,0,2698,1817
1.312,0.525,98.163,0,0,0,0,124644,124750,0,0,2522,1699
0,0,100,0,0,0,0,124800,124800,0,0,2516,1689
0,2.597,97.403,0,0,0,0,124750,124644,0,0,2519,1679
0,0,100,0,0,0,0,124644,124488,0,0,2509,1677
0.524,1.309,97.906,0.262,0,0,24576,123786,123786,0,0,1717,1688
0.781,1.823,97.396,0,0,0,0,123864,123864,0,0,1710,1681
0.783,1.567,97.650,0,0,0,57344,124020,124020,0,0,1731,1694
0.779,2.078,97.143,0,0,0,0,124020,124020,0,0,1713,1673
1.302,1.302,97.396,0,0,0,0,124020,124020,0,0,1719,1678
0.265,0.796,98.939,0,0,0,73728,123708,123708,0,0,1742,1686
0.773,2.835,96.392,0,0,0,0,124020,124020,0,0,1719,1673
0.777,2.332,96.891,0,0,0,8192,124020,124020,0,0,1718,1680
0.521,2.083,97.396,0,0,0,0,124020,124020,0,0,1718,1671
1.050,0.787,98.163,0,0,0,0,124020,124020,0,0,1710,1674
0.260,2.338,97.143,0.260,0,0,24576,123708,123708,0,0,1719,1695
1.305,1.044,97.650,0,0,0,0,124020,124126,0,0,1719,1687
0.524,1.571,97.906,0,0,0,0,124020,124020,0,0,1712,1673
0.259,2.850,96.891,0,0,0,0,124020,124020,0,0,1715,1674
1.562,1.042,97.396,0,0,0,0,124020,124020,0,0,1714,1679
0.519,2.597,96.883,0,0,0,24576,123658,123552,0,0,1722,1681
1.036,2.073,96.891,0,0,0,0,124020,124020,0,0,1717,1678
0.773,2.835,96.392,0,0,0,0,124020,124020,0,0,1710,1674
0.258,3.101,96.641,0,0,0,49152,124020,124020,0,0,1732,1687
0.262,1.575,98.163,0,0,0,0,124020,124020,0,0,1709,1669
1.028,2.571,96.144,0.257,0,0,73728,123552,123552,0,0,1727,1693
1.034,2.326,96.641,0,0,0,0,124020,124020,0,0,1715,1671
0.524,1.571,97.906,0,0,0,0,123864,123864,0,0,1712,1674
0,1.837,97.900,0.262,0,0,155648,123864,123864,0,0,1777,1740
0.777,2.332,96.891,0,0,0,0,123864,123864,0,0,1709,1672
0.785,1.571,97.644,0,0,0,40960,123630,123630,0,0,1719,1683
1.795,2.308,95.897,0,0,0,0,123864,123864,0,0,1717,1677
0.518,2.591,96.891,0,0,0,0,123864,123864,0,0,1715,1674
0.522,2.089,97.128,0.261,0,0,3219456,123006,123006,0,0,1730,1702
0.518,2.591,96.891,0,0,0,0,123864,123864,0,0,1712,1676
