"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-no-macsec-1500-1500-dstat.csv",,,,"Date:","07 Jan 2020 16:21:22 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.606,2.404,95.924,0.066,0,105265.119,28131.709,0,0,0,0,2121.576,1765.028
1.269,1.269,97.462,0,0,0,90112,114240,114240,0,0,3009,2023
0.514,2.571,96.915,0,0,0,0,106560,106560,0,0,2793,1862
0.767,2.558,96.675,0,0,0,0,106680,106560,0,0,2791,1857
1.028,2.057,96.915,0,0,0,0,106560,106680,0,0,2792,1864
1.020,2.551,96.429,0,0,0,0,106680,106560,0,0,2793,1861
0.765,2.806,96.173,0.255,0,0,32768,106320,106440,0,0,2793,1860
1.279,2.046,96.675,0,0,0,0,106560,106560,0,0,2795,1855
1.279,2.302,96.419,0,0,0,0,106680,106680,0,0,2795,1850
1.023,2.302,96.675,0,0,0,0,106560,106560,0,0,2800,1852
1.031,1.546,97.423,0,0,0,0,106680,106680,0,0,2797,1857
1.282,2.051,96.667,0,0,0,32768,106080,105960,0,0,2790,1863
1.020,2.806,96.173,0,0,0,0,105960,105960,0,0,1902,1863
1.542,1.542,96.915,0,0,0,0,105960,105960,0,0,1891,1859
1.289,1.546,97.165,0,0,0,8192,106080,106080,0,0,1903,1873
1.272,2.799,95.929,0,0,0,0,105960,105960,0,0,1893,1858
1.026,2.051,96.667,0.256,0,0,32768,105600,105600,0,0,1889,1868
1.289,1.546,97.165,0,0,0,0,106080,106080,0,0,2284,1851
1.269,3.046,95.685,0,0,0,0,105840,105840,0,0,1893,1860
0.769,2.564,96.667,0,0,0,0,105840,105840,0,0,1891,1856
1.266,3.038,95.696,0,0,0,0,105900,105882,0,0,1892,1860
1.276,2.806,95.918,0,0,0,32768,105480,105480,0,0,1896,1866
1.020,2.806,96.173,0,0,0,0,105840,105840,0,0,1891,1856
1.018,2.799,96.183,0,0,0,0,105720,105720,0,0,1889,1850
1.272,2.799,95.929,0,0,0,8192,105720,105720,0,0,1899,1864
1.285,1.799,96.915,0,0,0,0,105720,105720,0,0,1889,1853
1.028,2.057,96.658,0.257,0,0,32768,105480,105480,0,0,1890,1863
