"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final2/iperf3-1578486613-1-no-macsec-1464-dstat.csv",,,,"Date:","08 Jan 2020 12:30:26 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.745,5.044,92.189,0.022,0,5883.525,24188.456,0,0,0,0,2980.482,6482.122
0.800,4.267,94.933,0,0,0,0,274826,34250226,0,0,3867,617
1.090,1.362,97.275,0.272,0,0,114688,223608,35906596,0,0,3976,560
1.635,1.090,97.275,0,0,0,0,242220,35922194,0,0,3996,556
0.276,1.381,98.343,0,0,0,0,267762,35906596,0,0,4179,495
0.543,2.446,97.011,0,0,0,0,204270,35937792,0,0,4153,503
0.272,2.452,97.275,0,0,0,0,269676,35953390,0,0,4217,500
0.820,1.913,97.268,0,0,0,0,235158,35984586,0,0,4168,509
0.274,1.644,98.082,0,0,0,24576,201036,35953390,0,0,4167,509
0.536,3.485,95.979,0,0,0,0,201432,35984586,0,0,4130,498
0.274,1.918,97.808,0,0,0,0,203940,36015782,0,0,4133,501
